embedding_index,title,year,authors,journal_name,venue,issn,doi,subjects,work_id,embedding_id,embedding_run,embedding_preview,abstract
0,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,1990,"Emil L. Post, I. Grattan-Guinness",History and Philosophy of Logic,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"0144-5340, 1464-5149",10.1080/01445349008837160,"03A05, 01A60, 03E30, 03-03, 01A75",10.1080/01445349008837160,0104147fb609ba158db2396b8bde4c411fe87d68,msc_clean,"[-0.1124, 0.0476, 0.0349, 0.0272, -0.0002, -0.0122, 0.0521, 0.0179, ...] dimension=384","The paper comprises some notes written by Emil Post in 1935, edited by I. Grattan-Guinness. These outline a conception of set-theory with application to solving the set-theoretic paradoxes. The basic idea is as follows. The collection of existent objects changes over time and may be affected by the construction of set. Thus, the set abstract `\(\{\) x; \(\phi\) (x)\(\}\) ' may refer to different sets at different times, since at t this set comprises the set of things satisfying \(\phi\) (x) at time t. If E is the collection of objects existing at some time, write the set that the abstract refers to at this time as \(\{\) x; \(\phi (x)\}_ E\). Now, the usual argument shows that \(\{\) x; \(x\not\in x\}_ E\) is not in E, and so is novel (and, morevoer, is not a member of itself since its members are in E). The paper observes that the axioms of ZF may not be true of this conception of set. For example, restricted comprehension may fail: we may form the set \(\{\) \(x\in a\); \(\phi\) (x)\(\}\), but this may bring into existence a new set, and hence affect the range of quantifiers in \(\phi\) (x). There is therefore no guarantee that this is the set of things that now satisfy \(\phi\) (x). The paper closes with some suggestions to the effect that the problem may be avoided if the quantifiers in \(\phi\) (x) are restricted to stable sets of a certain kind; but the details are not worked out in enough detail to see how successful they are."
1,On a problem of formal logic.,1929,"Ramsey, F. P.",Proceedings of the London Mathematical Society,"Proc. Lond. Math. Soc. (2) 30, 264-286 (1930).",0024-6115,10.1112/plms/s2-30.1.264,03-XX,10.1112/plms/s2-30.1.264,cdff12680fd81901d905302c67abd86ad56dc03c,msc_clean,"[-0.0531, 0.0558, -0.0013, -0.0192, 0.0446, 0.0444, 0.0939, 0.0271, ...] dimension=384","In dieser Arbeit behandelt \textit{Ramsey} zwei Aufgaben über die Erfüllbarkeit von Aussagen. Die erste Aufgabe betrifft Aussagen, die mittels der Quantifikation ``alle'' aus Ausdrücken gebildet sind, welche wiederum mittels der drei elementaren logischen Operationen Konjunktion, Disjunktion und Negation, teils aus variablen Satzfunktionen und teils aus der Identitätsbeziehung aufgebaut sind. Wie der Verf. bemerkt, ist diese Aufgabe trivial für jeden einzelnen endlichen Bereich, weil man nur alle Möglichkeiten durchzuprobieren hat. Die Bedeutimg seiner Arbeit liegt deshalb darin, daß er auf einmal die Erfüllbarkeit in beliebig großen endlichen und auch unendlichen Bereichen untersucht. Es gelingt ihm im Abschnitt II, eine notwendige und hinreichende Bedingung für die Erfüllbarkeit in jedem Bereiche zu finden, dessen Elementzahl größer ist als eine gewisse Zahl, die von der Zahl der gegebenen Satzfunktionen und ihrer Argumente abhängt. Für kleinere Bereiche ist die Bedingung hinreichend, aber nicht notwendig. Um dies Hauptergebnis seiner Arbeit beweisen zu können, braucht er gewisse kombinatorische Sätze, die er im Abschnitt I beweist; diese Sätze sind übrigens auch sonst unzweifelhaft von großer Bedeutung. Im Abschnitt III macht er eine Anwendung seines allgemeinen Ergebnisses auf den Fall, wo von der Identität abgesehen bloß eine Funktion von zwei Variablen auftritt.

Die zweite Aufgabe behandelt der Verf. im Abschnitt IV. Er betrachtet hier Aussagen, worin auch die Quantification ``es gibt'' vorkommt, aber so, daß alle Existenzzeichen im Aussagenausdruck vor den Allzeichen stehen. Er gibt eine kurze Darstellung davon, wie seine Methode noch anwendbar bleibt, indem er zeigt, wie die Frage der Erfüllbarkeit einer Aussage der letzteren Art in einem Bereiche auf die Frage der Erfüllbarkeit einer Aussage der ersteren Art in einem gewissen kleineren Bereiche zurückgeführt werden kann. (II.)"
2,An autobiography of polyadic algebras,2000,"Halmos, Paul R.",Logic Journal of IGPL,"Log. J. IGPL 8, No. 4, 383-392 (2000).","1368-9894, 1367-0751",10.1093/jigpal/8.4.383,"03-03, 01A60, 03G15, 01A70",10.1093/jigpal/8.4.383,86e1ea9c0f4f63a565455b3a7079d5890b6cf2d3,msc_clean,"[-0.0796, -0.0266, -0.1047, -0.0223, -0.0825, -0.0273, 0.0601, 0.0424, ...] dimension=384","The paper consists of the author's reminiscences on why, and how, a known measure-theorist became one of the pioneers of modern algebraic logic. A section is devoted to the road to polyadic algebras, and a few paragraphs to the three PhD students of the author: B. R.~Galler, A.~Daigneault and L.~LeBlanc. 


This material has first appeared in Halmos' well-known book ``I want to be a mathematician'' (1985; Zbl 0569.01020 and Zbl 0668.01018)."
3,"On a theory of computation and complexity over the real numbers: NP- completeness, recursive functions and universal machines",1989,"Blum, Lenore, Shub, Mike, Smale, Steve",Bulletin of the American Mathematical Society,"Bull. Am. Math. Soc., New Ser. 21, No. 1, 1-46 (1989).","1088-9485, 0273-0979",10.1090/s0273-0979-1989-15750-9,"03D15, 03D10, 03D20, 03D80, 68Q05, 68Q17, 68Q25",10.1090/s0273-0979-1989-15750-9,d48de82cb2c2ebd0e54035cb82332b92ab3a73a1,msc_clean,"[-0.0654, -0.0405, -0.1018, -0.0234, -0.0322, -0.0873, -0.0205, -0.0578, ...] dimension=384","A model for computation over the reals \({\mathbb{R}}\) (or an arbitrary ordered ring \({\mathcal R})\) is presented. A machine over \({\mathcal R}\) is a digraph with two kinds of nodes: computation (fan-out 1) nodes labelled by polynomial maps \({\mathfrak g}: {\mathcal R}^ n\to {\mathcal R}^ n\), and branching (fan-out 2) nodes labelled by tests ``\({\mathfrak h}(x)\geq 0''\) where \({\mathfrak h}: {\mathcal R}^ n\to {\mathcal R}\) are polynomials. The concepts of universal machine, recursive function and NP-completeness are introduced for such a model of machines. The theory obtained reflects the classical one over \({\mathbb{Z}}\), and captures the special mathematical character of the underlying ring \({\mathcal R}\). Specifically, it is shown that complements of Julia sets (a concept from dynamic system theory) provide natural examples of undecidable sets over the reals. An analogue of Cook's NP-completeness theorem over the reals is also proved, and the 4-feasibility problem (i.e. the problem of deciding whether or not a real degree 4 polynomial has a zero) is shown to be NP-complete over \({\mathbb{R}}\). The paper is almost self-contained and provides a natural setting for the theory of algorithms and complexity in numerical analysis."
4,Strengths and weaknesses of quantum computing,1997,"Bennett, Charles H., Bernstein, Ethan, Brassard, Gilles, Vazirani, Umesh",SIAM Journal on Computing,"SIAM J. Comput. 26, No. 5, 1510-1523 (1997).","0097-5397, 1095-7111",10.1137/s0097539796300933,"68Q05, 68Q15, 03D15, 03D10",10.1137/s0097539796300933,241ff315d32542d626679dd9ed988aadc42ade6d,msc_clean,"[-0.1168, -0.0037, -0.0356, 0.0334, -0.0484, 0.0221, 0.0046, -0.0402, ...] dimension=384","Summary: Recently a great deal of attention has been focused on quantum computation following a sequence of results [ \textit{E. Bernstein} and \textit{U. Vazirani}, in Proc. 25th Ann. ACM Symp. Theory Comput., 11-20 (1993), SIAM J. Comput. 26, 1411-1473 (1997; see the review below); \textit{D. Simon}, in Proc. 35th Ann. IEEE Symp. Foundations Comput. Sci., 116-123 (1994), SIAM J. Comput. 26, 1474-1483 (1997; Zbl 0883.03024); \textit{P. W. Shor}, in Proc. 35th Ann. IEEE Symp. Foundations Comput. Sci., 124-134 (1994)] suggesting that quantum computers are more powerful than classical probabilistic computers. Following Shor's result that factoring and the extraction of discrete logarithms are both solvable in quantum polynomial time, it is natural to ask whether all of \textbf{NP} can be efficiently solved in quantum polynomial time. In this paper, we address this question by proving that relative to an oracle chosen uniformly at random with probability 1 the class \textbf{NP} cannot be solved on a quantum Turing machine (QTM) in time \(o(2^{n/2})\). We also show that relative to a permutation oracle chosen uniformly at random with probability 1 the class \(\text{\textbf{NP}} \cap \text{\textbf{co-NP}}\) cannot be solved on a QTM in time \(o(2^{n/3})\). The former bound is tight since recent work of \textit{L. Grover} [in Proc. 28th Ann. ACM Symp. Theory Comput., 212-219 (1996)] shows how to accept the class \textbf{NP} relative to any oracle on a quantum computer in time \(O(2^{n/2})\)."
5,The NP-completeness column: An ongoing guide. XXIII,1992,"Johnson, David S.",Journal of Algorithms,"J. Algorithms 13, No. 3, 502-524 (1992).",0196-6774,10.1016/0196-6774(92)90052-e,"68Q15, 68Q25, 03D15, 68-02",10.1016/0196-6774(92)90052-e,9805cef646bd7cfd4975f68a6aba2f884ca41937,msc_clean,"[-0.0400, -0.0005, -0.0505, -0.0265, 0.0440, -0.0892, -0.0183, -0.0822, ...] dimension=384",Summary: This is the 23rd edition of an irregular appearing column that covers new developments in the theory of \(NP\)-completeness.
6,The logic of quantum mechanics,1936,"Birkhoff, Garrett, von Neumann, John",The Annals of Mathematics,"Ann. Math. (2) 37, 823-843 (1936).",0003-486X,10.2307/1968621,"03G12, 81P10",10.2307/1968621,4990cd131c224034967a4d06d1c657b680d1b744,msc_clean,"[-0.1369, -0.0007, -0.0255, -0.0761, -0.1021, 0.0823, 0.0315, -0.0603, ...] dimension=384","\glqq Experimentelle Aussagen\grqq{} über den Zustand eines quantenmechanischen Systems haben die Form: \(n\) gegebene gleichzeitig meßbare Größen haben Werte, die mit Sicherheit einer gegebenen Menge \(S\) von Wertsystemen angehören. Im Hilbertschen Raum der Zustandsfunktionen \(\psi\) entspricht jeder experimentellen Aussage ein abgeschlossener linearer Unterraum. Die Aussage \(a\) trifft zu, wenn \(\psi\) dem Unterraum angehört; die entgegengesetzte Aussage \(a'\) (``non \(a\)'') trifft zu, wenn \(\psi\) dem orthogonalen Komplement des Unterraums angehört. Es wird postuliert, daß dem Durchschnitt zweier Unterräume, die zu experimentellen Aussagen \(a\) und \(b\) gehören, auch eine experimentelle Aussage entspricht. Die Relation \(a\subset b\) (\glqq aus \(a\) folgt \(b\)\grqq{}) besteht dann, wenn der zu \(a\) gehörige Unterraum in dem zu \(b\) gehörigen enthalten ist. Die \glqq quantenmechanische Logik\grqq{} ist nun die Axiomatik der Relationen \(a\subset b\) und \(a'\). Die Axiome sind den folgenden gleichwertig: 

A 1. Aus \(a\subset b\) und \(b\subset c\) folgt \(a\subset c\). 

A 2. Aus \(a\subset b\) folgt \(b'\subset a'\). 

A 3. \(a\subset (a')'\) und \((a')'\subset a\). 

A 4. Es gibt zu \(x\) und \(y\) eine Aussage \(x \cap y\), so daß \((x \cap y)\subset x\), \((x \cap y)\subset y\) und aus \(z\subset x\) und \(z\subset y\) folgt \(z\subset (x\cap y)\). 

A 5. \(a\cap a'\subset x\). Oder: Aus  \(a\subset a'\) folgt  \(a\subset x\). 

Def.: \(a = b\) bedeutet \(a\subset b\) und \(b\subset c\). 

Aus A 5 folgt: Es gibt eine Aussage \(o\), so daß \(o\subset x\) für alle \(x\). 

Aus A 1 und A 3 folgt: \(a\subset a\). 

Die Aussage \(o'\) hat die Eigenschaft \(x\subset o'\) für alle \(x\). Es gibt zu \(x\) und \(y\) eine Aussage \(x\cup y = (x'\cap y')'\), so daß \(x\subset (x\cup y)\), \(y\subset (x\cup y)\) und aus \(x\subset z\) und \(y\subset z\) folgt \(x\cup y\subset z\). 

Demzufolge bilden die Aussagen einen Verband (a lattice; vgl. \textit{Fri..."
7,Die Vollständigkeit der Axiome des logischen Funktionenkalküls.,1930,"Gödel, K.",Monatshefte für Mathematik und Physik,"Monatsh. Math. Phys. 37, 349-360 (1930).","0026-9255, 1436-5081",10.1007/bf01696781,03-XX,10.1007/bf01696781,aa3efcad87b0f9ed2a360da696c5bb80b63c4468,msc_clean,"[-0.1239, -0.0241, -0.0190, -0.0339, -0.0516, -0.0044, 0.0605, 0.0217, ...] dimension=384","Verf. überträgt \textit{P. Bernays}' axiomatische Untersuchung des Aussagenkalküls [Axiomatische Untersuchung des Aussagen-Kalküls der ``Principia Mathematica''. Math. Z. 25, 305--320 (1926; JFM 52.0049.01)] auf den sog. engeren Funktionenkalkül (vgl. \textit{D. Hilbert} and \textit{W. Ackermann}, Grundzüge der theoretischen Logik. Berlin: J. Springer (1928; JFM 54.0055.01)). Zugrunde gelegt werden als Prämisse sechs formale Axiome, die im wesentlichen mit denen der Principia Mathematica übereinstimmen, und abgesondert davon vier Schlußregeln. Die Vollständigkeit des Axiomensystems wird in folgender Form bewiesen: Jede Formel \(A\) des engeren Funktionenkalküls ist entweder im abzählbaren Individuenbereich erfüllbar, oder ihre Negation \(\overline A\) ist ableitbar. Dabei wird \(\overline{\overline{A}} = A\) benutzt. Den Beweis des Vollständigkeitssatzes führt Verf. durch vollständige Induktion: Er reduziert den allgemeinen Fall auf den gewisser Normalformen, für die er mit Hilfe der Sättigungsoperationen einen Grad definiert, der die Durchführung des Induktionsschlusses gestattet.

Erweitert man unter Beibehaltung der Schlußregeln das Axiomensystem um den Begriff der Identität, so gilt auch für diesen weiteren Bereich der Vollständigkeitssatz. Desgleichen gilt folgende Verallgemeinerung: Jede abzählbar unendliche Menge von Formeln des engeren Funktionenkalküls ist entweder erfüllbar, oder sie besitzt ein endliches Teilsystem, dessen logisches Produkt widerlegbar ist. Der Satz folgt aus dem anfangs bewiesenen Vollständigkeitssatz durch die Reduktion darauf, daß jedes endliche Teilsystem des unendlichen Systems erfüllbar ist.

Schließlich wird \textit{Bernays}' Unabhängigkeitsbeweis auf das erweiterte Axiomensystem ausgedehnt."
8,"The system \({\mathcal F}\) of variable types, fifteen years later",1986,"Girard, Jean-Yves",Theoretical Computer Science,"Theor. Comput. Sci. 45, 159-192 (1986).",0304-3975,10.1016/0304-3975(86)90044-7,"03B40, 18A35, 68Q65",10.1016/0304-3975(86)90044-7,a2d0ca5e2b8efc54390f89beeae2238fbdb6fcd6,msc_clean,"[-0.0267, -0.0144, -0.0784, -0.0383, -0.0724, 0.0144, 0.0851, 0.0022, ...] dimension=384","The paper concentrates on the construction of a suitable semantics for the system F of variable types, i.e. schemes of abstraction with respect to types. The main problem in finding interpretation of terms of variable types is connected with generally unrestrained formation of type abstraction and the schema of evaluation of functions of universal type. Since its formulation in the system F, the idea of variable types has become a common idea in computer science. However, there has not been much progress in the underlying theory. The author develops a semantics based on the category-theoretic notion of direct limit, allowing to describe the behaviour of a variable type of any domain by its behaviour on finite domains only. To do so, an original construction is introduced, viz. the qualitative domains, which present a refinement of Scott domains. The interpretation obtained is demonstrated on simple examples, a small universal model (''the intrinsic model'') of lambda calculus is defined, and the concept of totality is discussed."
9,Do the integers exist? The unknowability of arithmetic consistency,2005,"Schwartz, Jack T.",Communications on Pure and Applied Mathematics,"Commun. Pure Appl. Math. 58, No. 9, 1280-1286 (2005).","1097-0312, 0010-3640",10.1002/cpa.20084,"03A05, 03F30",10.1002/cpa.20084,b653499dfdcd99e5031fcadaf7c413f364d65161,msc_clean,"[-0.0863, 0.0242, -0.0140, 0.0099, 0.0109, 0.0108, -0.0757, 0.0064, ...] dimension=384","This philosophical paper can be interpreted as claiming that mathematicians do not have rational reasons to believe in consistency of first-order arithmetic. The standard argument that contradiction, if it existed, would appear in one of the numerous proofs produced up to now is countered as follows. Let's edit proofs retaining only statements needed for the later steps, deleting proofs of these statements, if they are not needed later. For a theorem T let the memory size Memsize(T) be the minimal space to be retained during such an edited proof. ``It is not unreasonable to assume that no theorem of memory size greater than, let us say, 100 pages has ever been published, or even worked out in detail by its discoverer. We can therefore say that all our mathematical experience to date is consistent with the assumption that Peano axioms are inconsistent, but that the size of the minimal inconsistency is more than, let us say, 100 pages.'' The last paragraph draws a picture (presumably quite acceptable to the author) of science after a contradiction in arithmetic is found."
